col1_1a,col1_1,RA_d,DEC_d,FWHM_d,R_SAT_d,IND_d,MAG_d,MAG_d_unc,AP_d,AP_d_unc,PSF_d,PSF_d_unc,SKY_d,VISION,col1_2,ra_1,dec_1,wfc3m,wfc3u,nic1.6m,nic1.6u,nic2.05m,nic2.05u,irtfm,irtfu,hops,separation_2,closesthops,4thnearest,Separation_1,col1_3,ra_s,dec_s,b36_s,unc36_s,b45_s,unc45_s,b58_s,unc58_s,b8_s,unc8_s,J,uncJ,H,uncH,Ks,uncKs,class,col1_2a,Unnamed: 0.4,ra_v,dec_v,J_v,Je_v,H_v,He_v,Ks_v,Kse_v,Separation
44,44.0,83.72732621915877,-5.700441496660693,2.373389482498169,0.0,89.0,16.11908168511963,0.0025804485194385,16.11908168511963,0.0025804485194385,,,0.8636876344680786,0.0,,,,,,,,,,,,,,,,,44181.0,83.72722,-5.70043,15.659,0.033,15.449,0.057,,,,,16.967,0.167,16.204,0.182,15.759,0.19,star_or_galaxy,218,218,83.727267,-5.700445,16.711,0.021,16.164,0.017,15.873,0.025,0.21250928966144036
45,45.0,83.7274077679459,-5.695476374146891,2.36600136756897,0.0,90.0,18.94523830133056,0.0134154008701443,18.94523830133056,0.0134154008701443,,,0.3198426365852356,0.0,,,,,,,,,,,,,,,,,44226.0,83.72731,-5.69561,14.673,0.016,14.106,0.019,13.235,0.064,12.222,0.117,,,,,,,star_or_galaxy,219,219,83.727399,-5.695537,,,18.467,0.059,16.504,0.035,0.2205015071911259
46,46.0,83.72939659146596,-5.553527176390217,2.519772291183472,0.0,92.0,19.844825932556155,0.0265963952988386,19.844825932556155,0.0265963952988386,,,0.7163511514663696,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47.0,83.72942469233267,-5.661985636768686,2.480574131011963,0.0,93.0,21.16362590509033,0.0341315791010856,21.16362590509033,0.0341315791010856,,,0.3112177848815918,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48.0,83.72985824300038,-5.752147952566165,2.610179424285889,0.0,94.0,21.755218693786624,0.0642297491431236,21.755218693786624,0.0642297491431236,,,0.3888212740421295,0.0,,,,,,,,,,,,,,,,,43785.0,83.72996,-5.75211,17.25,0.174,16.5,0.295,,,,,,,,,,,star_or_galaxy,235,235,83.729832,-5.752126,,,,,18.815,0.147,0.12280656045772803
49,49.0,83.73179182884299,-5.648444647588573,2.49378514289856,0.0,95.0,21.040910908752444,0.0334006361663341,21.040910908752444,0.0334006361663341,,,0.3522971570491791,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50.0,83.73285173719272,-5.635647370287584,2.256543159484863,0.0,98.0,21.63825816827392,0.0632193312048912,21.63825816827392,0.0632193312048912,,,0.3824665546417236,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51.0,83.73307604257451,-5.656667941829473,2.553266286849976,0.0,99.0,21.09795207696533,0.0434101559221744,21.09795207696533,0.0434101559221744,,,0.3565991520881653,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52.0,83.73324433985226,-5.62633351939116,2.56503438949585,0.0,,19.056816289001468,0.0150728309527039,19.056816289001468,0.0150728309527039,,,0.5787721872329712,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,251,83.733258,-5.626295,19.556,0.101,19.303,0.108,,,0.14705237972724114
53,53.0,83.73647792637578,-5.783658959101687,2.554366111755371,0.0,101.0,18.094892689758304,0.0066162338480353,18.094892689758304,0.0066162338480353,,,0.2789953351020813,0.0,,,,,,,,,,,,,,,,,43550.0,83.73645,-5.78355,15.091,0.029,14.682,0.043,,,,,,,,,,,star_or_galaxy,262,262,83.736464,-5.783623,20.955,0.211,17.933,0.042,16.24,0.03,0.13872997981644128
